rns,rns80,mrt,mrt80,smsa,smsa80,med,iq,kww,year,age,age80,s,s80,expr,expr80,tenure,tenure80,lw,lw80
0,0,0,1,1,1,8,93,35,68,19,31,12,12,0.462000012,10.63500023,0,2,5.900000095,6.644999981
0,0,0,1,1,1,14,119,41,66,23,37,16,18,0,11.36699963,2,16,5.438000202,6.693999767
0,0,0,1,1,1,14,108,46,67,20,33,14,14,0.423000008,11.03499985,1,9,5.710000038,6.715000153
0,0,0,1,1,1,12,96,32,66,18,32,12,12,0.333000004,13.08899975,1,7,5.480999947,6.477000237
0,0,1,1,1,1,6,74,27,73,26,34,9,11,9.012999535,14.40200043,3,5,5.927000046,6.331999779
0,0,0,0,1,1,8,91,24,66,16,30,9,10,0.333000004,13.42599964,1,0,4.803999901,6.396999836
0,0,1,1,1,1,8,114,50,73,30,38,18,18,1.205000043,7.554999828,6,14,6.512000084,6.986000061
0,0,1,1,0,0,14,111,37,67,23,36,15,15,1.25,12.61999989,1,1,5.808000088,7.051000118
0,0,1,1,1,1,12,95,44,66,22,36,12,12,2.048000097,15.87199974,2,16,5.736999989,6.907999992
0,0,1,1,0,0,13,132,44,73,30,38,18,18,1.371999979,8.319000244,5,13,6.381999969,6.835000038
0,0,1,1,0,0,16,102,45,69,22,33,14,14,0,9.298000336,1,11,5.743000031,6.826000214
0,0,0,0,0,0,12,125,40,70,20,30,14,15,0.36500001,4.112999916,1,3,6.215000153,6.802000046
0,0,0,1,1,1,10,119,24,73,20,28,16,16,0.689999998,7.46999979,0,2,5.256999969,7.184000015
0,0,1,1,1,1,12,118,47,73,26,34,16,16,2.388999939,9.312000275,0,9,6.619999886,7.491000175
0,0,1,1,1,1,6,105,37,66,21,35,10,10,4.377999783,17.03899956,2,2,5.714000225,6.864999771
0,0,0,1,1,1,12,109,39,66,22,36,12,15,0,5.900000095,2,9,5.59499979,7.215000153
0,0,1,1,1,1,10,72,36,71,29,38,11,11,8.786999702,19.2310009,1,10,5.808000088,6.744999886
0,0,0,1,1,1,12,105,29,73,21,29,12,14,0,3.926000118,0,7,5.900000095,6.722000122
0,0,0,1,1,1,8,101,34,67,18,31,11,12,0.377999991,12.58500004,1,7,5.297999859,6.15500021
0,0,0,1,1,1,12,123,37,70,21,31,12,14,1.786000013,8.93999958,3,1,5.78399992,7.151000023
0,0,1,1,1,1,12,113,49,70,26,36,16,16,0.469999999,10.36100006,7,4,6.224999905,7.387000084
0,0,0,1,1,1,10,95,36,66,24,38,12,12,0.294999987,13.70800018,1,3,5.743000031,6.771999836
0,0,1,1,0,1,12,145,50,71,29,38,16,16,8.340999603,17.25799942,4,8,6.868999958,7.666999817
0,0,0,1,1,1,11,114,35,69,21,32,16,16,1,11.67700005,1,7,6.122000217,6.959000111
0,0,0,1,1,1,16,124,32,73,21,29,16,16,1.447000027,8.387000084,2,9,6.239999771,7.379000187
0,0,1,1,1,1,12,93,40,66,21,35,12,13,2.378000021,15.52200031,2,5,5.152999878,7.079999924
1,1,1,1,1,1,8,115,39,73,27,35,18,18,4.449999809,11.36400032,0,1,6.568999767,6.684999943
0,0,1,1,1,1,13,125,41,73,26,34,17,17,2.35800004,9.376000404,6,4,6.357999802,7.256000042
0,0,0,0,1,1,16,128,35,73,28,36,18,18,0.897000015,7.801000118,5,13,6.136000156,6.453999996
0,0,1,1,1,1,8,103,40,71,25,34,12,12,6.768000126,16.62899971,1,2,5.927000046,6.907999992
0,0,0,1,1,1,12,98,41,66,21,35,14,14,2.378000021,15.10700035,3,4,6.215000153,7.261000156
